Field	Time	TopLeft:X	TopLeft:Y	TopLeft:Z	TopRight:X	TopRight:Y	TopRight:Z	BottomLeft:X	BottomLeft:Y	BottomLeft:Z	BottomRight:X	BottomRight:Y	BottomRight:Z	Brow:X	Brow:Y	Brow:Z	Tip:X	Tip:Y	Tip:Z	StickTopLeft:X	StickTopLeft:Y	StickTopLeft:Z	StickTopRight:X	StickTopRight:Y	StickTopRight:Z	StickBottomLeft:X	StickBottomLeft:Y	StickBottomLeft:Z	StickBottomRight:X	StickBottomRight:Y	StickBottomRight:Z
36	0.23	2.62678	-391.200745	999.59845	58.619373	-384.843018	1003.778931	-21.033182	-366.89032	955.351746	32.59256	-360.907135	959.416992	30.043146	-294.094513	860.268005	264.955292	-446.069885	1192.221313	266.569977	-471.274323	1167.714111	242.522461	-393.818481	1204.834351	247.616226	-483.685272	1121.040283	225.405975	-404.403687	1159.046143
37	0.24	2.630642	-391.199951	999.599915	58.623325	-384.844116	1003.778259	-21.028873	-366.889343	955.352295	32.596306	-360.906219	959.417358	30.045593	-294.093964	860.267578	264.921936	-446.130432	1192.239868	266.530762	-471.334961	1167.733887	242.496353	-393.880646	1204.847778	247.57692	-483.720062	1121.046021	225.394073	-404.445923	1159.066772
38	0.25	2.634525	-391.199158	999.601379	58.6273	-384.845215	1003.777649	-21.024557	-366.888367	955.352844	32.600067	-360.905304	959.417725	30.048042	-294.093414	860.267029	264.889435	-446.1875	1192.258667	266.492645	-471.392334	1167.753784	242.470688	-393.938568	1204.861572	247.538834	-483.752777	1121.05249	225.382645	-404.486176	1159.086548
39	0.26	2.638427	-391.198303	999.602783	58.631294	-384.846222	1003.776978	-21.020233	-366.88736	955.353394	32.60384	-360.904358	959.418091	30.050495	-294.092865	860.266541	264.857788	-446.241211	1192.277588	266.455658	-471.446503	1167.773926	242.44548	-393.99234	1204.875732	247.502014	-483.783417	1121.05957	225.371658	-404.524536	1159.105347
40	0.27	2.642349	-391.197418	999.604248	58.635303	-384.847198	1003.776306	-21.015902	-366.886353	955.353943	32.607628	-360.903381	959.418457	30.05295	-294.092285	860.265991	264.827118	-446.291595	1192.296509	266.41983	-471.497498	1167.794189	242.420792	-394.042053	1204.890137	247.466507	-483.812042	1121.067017	225.361115	-404.561035	1159.122925
41	0.28	2.646292	-391.196533	999.605652	58.639336	-384.848145	1003.775696	-21.011564	-366.885345	955.354492	32.611427	-360.902405	959.418823	30.055407	-294.091705	860.265442	264.797363	-446.338715	1192.315308	266.385223	-471.54541	1167.814209	242.396652	-394.087799	1204.904663	247.432358	-483.838684	1121.074951	225.350983	-404.595764	1159.139526
42	0.29	2.650255	-391.195618	999.607056	58.643387	-384.84903	1003.774963	-21.007219	-366.884308	955.355042	32.615242	-360.901398	959.419128	30.057865	-294.091125	860.264893	264.768616	-446.38269	1192.33374	266.351868	-471.590302	1167.833984	242.373077	-394.12973	1204.919312	247.399628	-483.863434	1121.08313	225.341248	-404.628845	1159.154907
43	0.3	2.654238	-391.194641	999.608459	58.647457	-384.849854	1003.774292	-21.002867	-366.88327	955.35553	32.619072	-360.900391	959.419434	30.060328	-294.090546	860.264343	264.740875	-446.423615	1192.351929	266.319824	-471.632233	1167.853516	242.350113	-394.167938	1204.93396	247.368378	-483.886353	1121.091309	225.331894	-404.660339	1159.168945
44	0.31	2.658241	-391.193665	999.609863	58.651546	-384.850647	1003.773621	-20.998508	-366.882202	955.356079	32.622913	-360.899353	959.419739	30.062792	-294.089935	860.263794	264.714203	-446.461609	1192.369507	266.289093	-471.671326	1167.872314	242.327789	-394.202606	1204.948486	247.338654	-483.907501	1121.099487	225.322876	-404.690338	1159.181641
45	0.32	2.662264	-391.192657	999.611206	58.655659	-384.85141	1003.772888	-20.994141	-366.881134	955.356567	32.62677	-360.898285	959.419983	30.065258	-294.089325	860.263184	264.688629	-446.496796	1192.386353	266.259735	-471.707642	1167.890503	242.306137	-394.233917	1204.962891	247.310501	-483.926971	1121.1073	225.314163	-404.718933	1159.192993
46	0.33	2.666307	-391.19162	999.61261	58.659786	-384.852081	1003.772217	-20.989767	-366.880066	955.357056	32.630638	-360.897217	959.420227	30.067728	-294.088684	860.262573	264.664185	-446.529297	1192.402466	266.231812	-471.741302	1167.907715	242.285172	-394.261993	1204.976807	247.283997	-483.944824	1121.114746	225.30574	-404.746307	1159.202637
47	0.34	2.67037	-391.190582	999.613953	58.663937	-384.852753	1003.771484	-20.985388	-366.878967	955.357605	32.634521	-360.896149	959.420471	30.0702	-294.088074	860.261963	264.640869	-446.559265	1192.417358	266.205353	-471.772461	1167.923706	242.264923	-394.287079	1204.990234	247.259186	-483.961212	1121.12146	225.297546	-404.772552	1159.210693
48	0.35	2.674454	-391.189484	999.615295	58.668102	-384.853333	1003.770752	-20.980999	-366.877869	955.358093	32.63842	-360.89502	959.420715	30.072674	-294.087433	860.261353	264.618744	-446.586853	1192.43103	266.180359	-471.801178	1167.938354	242.245407	-394.309387	1205.003052	247.236115	-483.976196	1121.127197	225.289536	-404.797791	1159.216919
49	0.36	2.678558	-391.188385	999.616577	58.672291	-384.853912	1003.77002	-20.976604	-366.87677	955.358582	32.64233	-360.89389	959.420959	30.07515	-294.086792	860.260681	264.597809	-446.612244	1192.443359	266.156952	-471.827606	1167.951416	242.226639	-394.329102	1205.015137	247.214828	-483.989899	1121.131958	225.281677	-404.822174	1159.221313
50	0.37	2.682682	-391.187256	999.61792	58.676498	-384.854401	1003.769226	-20.972202	-366.875641	955.35907	32.646255	-360.892761	959.421143	30.077629	-294.086121	860.26001	264.578094	-446.63562	1192.453857	266.135101	-471.851929	1167.962646	242.208633	-394.346497	1205.026123	247.195404	-484.002411	1121.135254	225.273895	-404.845856	1159.223633
51	0.38	2.686826	-391.186066	999.619202	58.680725	-384.854858	1003.768494	-20.967793	-366.874512	955.359558	32.650192	-360.891602	959.421326	30.080111	-294.085449	860.259338	264.559601	-446.657104	1192.462524	266.114838	-471.874207	1167.97168	242.191376	-394.361816	1205.036133	247.177872	-484.013885	1121.136963	225.266144	-404.868988	1159.223877
52	0.39	2.69099	-391.184875	999.620483	58.684971	-384.855286	1003.7677	-20.963375	-366.873352	955.359985	32.654144	-360.890411	959.421509	30.082594	-294.084778	860.258667	264.542358	-446.676941	1192.468994	266.096222	-471.894684	1167.978271	242.17485	-394.375336	1205.0448	247.162262	-484.024414	1121.136719	225.258347	-404.891724	1159.221802
53	0.4	2.695175	-391.183685	999.621765	58.689236	-384.855652	1003.766968	-20.958952	-366.872192	955.360474	32.658108	-360.889221	959.421631	30.085081	-294.084106	860.257935	264.526367	-446.695343	1192.473145	266.079285	-471.913452	1167.9823	242.159058	-394.387299	1205.052002	247.148621	-484.034088	1121.134277	225.250412	-404.914246	1159.217163
54	0.41	2.69938	-391.182434	999.623047	58.69352	-384.855957	1003.766174	-20.954521	-366.871002	955.360901	32.662086	-360.888	959.421814	30.08757	-294.083405	860.257263	264.511597	-446.712494	1192.474609	266.063995	-471.930725	1167.983276	242.143936	-394.39801	1205.057495	247.136993	-484.043091	1121.129272	225.242294	-404.936707	1159.210083
